,Cod. Prod,Nome,Margem,Pr. Venda
119,f2511212,DESINF.LIMPS TALCO,50,2.5
120,f99966,SAPOLIO CREMOSO RADIUM CLASSICO,50,7.2
121,f2434,SAPOLIO CREMOSO RADIUM CLORO,50,7.2
122,f3116,MOSTARDA DIVINA MESA BISNAGA,50,2.99
123,fgenerico,DIFUSOR DE AROMAS COALA LAVANDA,50,13.99
124,f828,QUIRERINHA CAMPO LARGO,50,4.2
125,f642,MOLHO DE T.QUERO SACHE TRAD REF (1280),50,1.99
126,f2092,EXT.T.ELEFANTE 130GR,50,3.2
127,f12458895,AGUA SANIT.DA ILHA,50,7.5
128,f12366,"PAPEL ALUMINIO DIVINA MESA 45X7,5",50,7.5
129,f161,ABS.SYM ABAS C.SUAVE ROXO (ARA18),50,3.99
130,f354,ABS.SYM ABAS NOITE E DIA AZUL (ANA18),50,5.2
131,f162,ABS.SYM ABAS C.SECA LARANJA(ASA18),50,3.99
132,f2325,ABS.SYM ABAS C.SUAVE GIRL (AGA18),50,3.99
133,f5145,REMOVEDOR DE ESMALTE FARMAX (PROPANONA),50,4.2
134,f388,HASTES FLEX.COTTONBABY CARTUCHO,50,2.5
135,f2270,DROPS PASTILHA GAROTO HORTELA,50,0.99
136,f3510,LIMPADOR CONC.COALA CITRIODORA,50,13.5
137,f2631,ISQUEIRO BIC MINI L4P3 (NR.ONU-1057),50,2.99
138,f1088,COLA THREE BOND SUPER SM.,50,1.99
139,f197,COLA S.BONDER ORIGINAL,50,6.99
140,f580,MASSA GALO ESPAG.8 SEMOLA,50,8.99
141,f30,DETER.LIQ.YPE CLEAR,50,3.2
142,f443,DETER.LIQ.YPE NEUTRO,50,3.2
143,f1348,SACO LIXO LIMPS 50L,50,2.99
144,f3369,LUVA LATEX FORRADA (AM) SANRO TOP M,50,10.5
145,f6356,MAIONESE DIVINA MESA BISNAGA,50,2.99
146,f5447,ESPONJA ACO INOX LIMPS 8G,50,2.5
147,f7086,TORRADA ISABELA MULTIGRAOS,50,3.99
148,f72271,TORRADA ISABELA INTEGRAL,50,3.99
149,f210120221,BISC.ORQUIDEA TORTISSIMAS LIMAO,50,1.99
